title,abstract,trial
Protective effect of high-dose medroxyprogesterone acetate (HD-MPA) on hematological toxicity induced by chemotherapy for advanced solid tumors: a multicentric controlled clinical trial. MPA-Hematology Italian Cooperative Group.,"A multicenter, randomized, controlled trial was conducted comparing active treatment with placebo in 227 patients with breast, colorectal, lung and other solid forms of cancer. Combination therapy, (CT) conventionally employed for the various types of tumor involved, was associated with MPA (117 patients) or placebo (110 patients). MPA was given orally as tablets, as a dose of 500 mg b.i.d. for 6 months. The results were, briefly, as follows: The incidence of leukopenia was significantly lower in the groups receiving MPA in patients with breast and colorectal cancer (P less than 0.02). Tumors of the lung and other solid forms showed no such difference. The incidence of thrombocytopenia was the same in all disease groups. Objective responses (CR + PR) were observed in 23/46 (50%) of breast cancer patients treated with CT + MPA, and in 13/47 (28%) of those given CT + placebo. The difference was significant (P less than 0.02). Subjective parameters also showed more improvement in the MPA group than in the patients given CT alone. No significant differences were found for the other types of tumor, but the numbers in this population were very limited. In a group of 45 patients, antithrombin III a (%), antithrombin III R: Ag (%), plasminogen (mg/dl), alpha-2 macroglobulin (%), factor VIII C (%), factor VIII R: Ag (%) and factor IX C (%) were determined. The most interesting post-treatment findings were an increase in anti-thrombin III (activity and antigen level) and in plasminogen. This suggests that MPA does not increase the risk of thrombosis, and might even, to some extent, impede tumor-induced thrombophilia.(ABSTRACT TRUNCATED AT 250 WORDS)",0
Surgical complications of skin sparing mastectomy and immediate prosthetic reconstruction after neoadjuvant chemotherapy for invasive breast cancer.,"BACKGROUND: Neoadjuvant chemotherapy is gaining acceptance as an option for breast cancer treatment, particularly in young women. These women may seek immediate breast reconstruction after mastectomy even though it is not known whether such preoperative chemotherapy may be detrimental to post-reconstruction wound healing. Therefore, we set out to assess the influence of neoadjuvant chemotherapy for invasive breast cancer on the short-term complications after skin sparing mastectomy and immediate prosthetic reconstruction. METHODOLOGY: The short-term surgical outcome of 48 immediate breast reconstructions in 37 women treated with neoadjuvant chemotherapy from 2006 through 2009 was prospectively compared to that of 215 immediate reconstructions in 176 women who were operated in the same period without neoadjuvant chemotherapy. RESULTS: The overall rate of short-term postoperative complications was significantly less among neoadjuvantly treated women (15% vs. 29%; p = 0.042) but this did not result in a reduction of loss of prostheses (8% vs. 11%; p = 0.566). CONCLUSION: Because neoadjuvant chemotherapy is not associated with an increase in short-term complications after skin sparing mastectomy and immediate prosthetic reconstruction in patients with invasive breast cancer, such combined surgical therapy may be offered as treatment option for this particular group of patients also.",0
Docetaxel versus docetaxel alternating with gemcitabine as treatments of advanced breast cancer: final analysis of a randomised trial.,"BACKGROUND: Alternating administration of docetaxel and gemcitabine might result in improved time-to-treatment failure (TTF) and fewer adverse events compared with single-agent docetaxel as treatment of advanced breast cancer.PATIENTS AND METHODS: Women diagnosed with advanced breast cancer were randomly allocated to receive 3-weekly docetaxel (group D) or 3-weekly docetaxel alternating with 3-weekly gemcitabine (group D/G) until treatment failure as first-line chemotherapy. The primary end point was TTF.RESULTS: Two hundred and thirty-seven subjects were assigned to treatment (group D, 115; group D/G, 122). The median TTF was 5.6 and 6.2 months in groups D and D/G, respectively (hazard ratio 0.85, 95% confidence interval 0.63-1.16; P = 0.31). There was no significant difference in time-to-disease progression, survival, and response rate between the groups. When adverse events were evaluated for the worst toxicity encountered during treatment, there was little difference between the groups, but when they were assessed per cycle, alternating treatment was associated with fewer severe (grade 3 or 4) adverse effects (P = 0.013), and the difference was highly significant for cycles when gemcitabine was administered in group D/G (P < 0.001).CONCLUSION: The alternating regimen was associated with a similar TTF as single-agent docetaxel but with fewer adverse effects during gemcitabine cycles.",1
Can breast MRI predict axillary lymph node metastasis in women undergoing neoadjuvant chemotherapy.,"BACKGROUND: Axillary lymph node status provides important staging information. We sought to evaluate the predictive value of breast magnetic resonance imaging (MRI) in detecting axillary lymph node metastases prior to initiation of neoadjuvant chemotherapy (NAC) and in detecting residual lymph node metastases after NAC in women found to be node positive prior to NAC. METHODS: Women underwent breast MRI with axillary evaluation prior to initiation of NAC and again after completion of NAC. Pathologic confirmation of lymph node status was confirmed by sentinel lymph node biopsy (SLNB), image-guided axillary fine-needle aspiration (FNA)/core biopsy, or axillary lymph node dissection. We evaluated the sensitivity, specificity, and negative and positive predictive values of MRI in detecting axillary node involvement. RESULTS: Seventy-four women completed NAC and underwent surgery. Sensitivity of MRI in detecting axillary node involvement prior to NAC was 64.7% and specificity was 100%, with positive and negative predictive values of MRI of 100% and 77.8%, respectively. Sensitivity and specificity of MRI to identify residual pathologic axillary lymph node disease following NAC were 85.7% and 89%, respectively, while the positive and negative predictive values were 92% and 80.9%, respectively. CONCLUSION: Breast MRI has moderate sensitivity and high specificity for predicting axillary lymph node status prior to NAC. In patients found to be node positive prior to NAC, MRI was able to predict with moderate sensitivity and specificity whether residual nodal disease was present. The accuracy of MRI is not adequate to obviate either the need for staging by sentinel node biopsy or the need for completion axillary dissection in women determined to be node positive prior to NAC.",0
"Gene expression profiling of breast cancer patients treated with docetaxel, doxorubicin, and cyclophosphamide within the GEPARTRIO trial: HER-2, but not topoisomerase II alpha and microtubule-associated protein tau, is highly predictive of tumor response.","Gene expression analysis in breast cancer patients undergoing neoadjuvant chemotherapy is an interesting tool for identification of gene signatures and new markers to predict tumor response. However, the detection of predictive markers strongly depends on the drugs used in the specific therapeutic setting. There is growing evidence that topoisomerase II-alpha (TOPO IIalpha) is a marker for anthracycline-, and microtubule-associated protein tau (MAPT) for taxane sensitivity. HER-2 has been described as a marker of both anthracycline and taxane sensitivity. We performed gene expression profiling of 50 patients within the GEPARTRIO study, an anthracycline and taxane neoadjuvant chemotherapy trial. Here we investigate the predictive value of TOPO IIalpha, MAPT and HER-2 mRNA expression for pathological complete response (pCR) in this setting. Interestingly, HER-2 gene expression was strongly predictive of pCR (P=0.017) as well as overall response (P=0.037) and clinical complete response (cCR, P=0.050). In contrast, for both TOPO IIalpha and MAPT no correlation with pCR was observed in our sample group.",0
Evaluation of trastuzumab without chemotherapy as a post-operative adjuvant therapy in HER2-positive elderly breast cancer patients: randomized controlled trial [RESPECT (N-SAS BC07)].,"OBJECTIVE: This trial is conducted to investigate the benefit of trastuzumab monotherapy compared with a combination therapy of trastuzumab and chemotherapy in women over 70 years with human epidermal growth factor receptor type-2-positive primary breast cancer. METHODS: Inclusion criteria are the following: histologically diagnosed as invasive breast cancer and received curative operation for primary breast cancer; Stage I, IIA, IIB or IIIA/M0; and baseline left ventricular ejection fraction is ≥55%. Patients are randomized to receive either trastuzumab (8 mg/kg loading dose, 6 mg/kg every 3 weeks for 1 year) plus chemotherapy selected from regimens specified on the protocol or trastuzumab monotherapy. The primary endpoint is disease-free survival. Secondary endpoints are overall survival, relapse-free survival, safety, health-related quality of life, comprehensive geriatric assessment and cost effectiveness. RESULTS: Patients recruitment has been commenced in October 2009. Enrollment of 300 patients is planned during the 4-year recruitment period. CONCLUSIONS: We hereby report the study concept.",1
Pathologic complete response with six compared with three cycles of neoadjuvant epirubicin plus docetaxel and granulocyte colony-stimulating factor in operable breast cancer: results of ABCSG-14.,"PURPOSE: Preoperative (neoadjuvant) chemotherapy for operable breast cancer downstages tumors initially not suitable for breast-conserving surgery. A pathologic complete response (pCR) to neoadjuvant chemotherapy may be a surrogate for longer overall survival, but this beneficial effect remains to be established. This phase III trial evaluated whether doubling the number of cycles of neoadjuvant treatment increased the pCR rate. PATIENTS AND METHODS: Patients with biopsy-proven breast cancer (T1-4a-c, N+/-, M0; stage I to III) were eligible and randomly assigned to either three or six cycles of epirubicin 75 mg/m2 and docetaxel 75 mg/m2 on day 1 and granulocyte colony-stimulating factor on days 3 through 10 (ED+G), every 21 days. The primary end point was the pCR rate of the breast tumor. Secondary end points were pathologic nodal status after surgery and the rate of breast-conserving surgery. RESULTS: A total of 292 patients were accrued, and 288 patients were assessable for efficacy and safety. Groups were well balanced for known prognostic factors. Six cycles of ED+G, compared with three cycles, resulted in a significantly higher pCR rate (18.6% v 7.7%, respectively; P = .0045), a higher percentage of patients with negative axillary status (56.6% v 42.8%, respectively; P = .02), and a trend towards more breast-conserving surgery (75.9% v 66.9%, respectively; P = .10). Rates of adverse events were similar, and no patients died on treatment. CONCLUSION: Doubling the number of neoadjuvant ED+G cycles from three to six results in higher rates of pCR and negative axillary nodal status with no excess of adverse effects. Thus, six cycles of ED+G should be the standard neoadjuvant treatment for operable breast cancer if this combination is chosen.",1
Prospective multicenter randomized phase III study of weekly versus standard docetaxel plus doxorubicin (D4) for first-line treatment of metastatic breast cancer.,"PURPOSE: Previous phase II studies have indicated a greatly reduced hematotoxicity of docetaxel-based regimens administered on weekly schedules. The present trial was initiated to compare the toxicity and efficacy of weekly docetaxel versus its standard 3-weekly application in combination with doxorubicin.METHODS: Patients previously untreated with chemotherapy for metastatic disease were recruited. Inclusion criteria were age <65 years or a Karnofsky Performance Status of 70-100%. All patients in the D4 study received doxorubicin (50 mg/m(2)) on the first day of treatment in addition to docetaxel given either at a 3-weekly dose of 75 mg/m(2) every 3 weeks (q3w) or at a weekly dose of 35 mg/m(2) (days 1, 8, and 15; q4w). Treatment was continued until a maximum of 8 cycles, unacceptable toxicity, or disease progression. All patients received standard corticosteroid prophylaxis.RESULTS: Since interim analysis showed failure to reach a significant difference for the primary endpoint (hematotoxicity, i.e. leukopenia), the study was closed according to the study protocol (85 of 242 patients). A lower-than-expected rate of leukopenia ≥ grade 3 was observed in the standard arm of the D4 study compared to the weekly schedule (per-patient analysis: 61.9% q3w vs. 65.1% q1w; p > 0.05). Grade 3 and grade 4 fever, diarrhea, and infections occurred more frequently in the standard arm, whereas neurotoxicity and skin/nail disorders were observed more frequently in the weekly arm. Except for fever, none of these differences reached a level of significance. Dose delays, dose reductions, and the rate of omitted doses were increased in the weekly arm. The overall response rate was 44.2% in the weekly arm compared to 52.4% in the standard arm (p = 0.52). Time to progression was 6.2 (q1w) versus 10.3 (q3w) months (p = 0.36), and overall survival was 20.5 (q1w) versus 28.7 (q3w) months (p = 0.98).CONCLUSION: The present data support the feasibility of both weekly and 3-weekly application of docetaxel in combination with doxorubicin. Nevertheless, given that leukopenia was similar in both arms and the efficacy parameters were at least numerically inferior with the weekly schedule, standard 3-weekly application seems to be preferable for patients requiring combination chemotherapy.",1
Sustained-release metoclopramide plus methylprednisolone versus placebo plus methylprednisolone as antiemetic prophylaxis during non-cisplatin chemotherapy. A randomized double-blind cross-over trial.,"In a randomized double-blind cross-over trial, sustained-release metoclopramide (S) plus methylprednisolone (M) was compared with placebo (P) plus methylprednisolone as antiemetic prophylaxis during two cycles of non-cisplatin chemotherapy. S was administered as 60 mg every 12 h commencing on the evening before chemotherapy up to total of 300 mg metoclopramide in 2.5 days. Evaluation of nausea and vomiting was done by self-assessment schemes and visual analog scales. Fifty patients were included and 36 fulfilled both cycles. Mild nausea and vomiting were experienced by 81% and 83% in the S + M and P + M groups, respectively, while 42% and 39% showed complete control of nausea and vomiting during the first day of treatment. Moderate-dose S did not add to the antiemetic efficacy of M in non-cisplatin chemotherapeutic regimens.",0
The prognostic significance of sialyl-Tn antigen in women treated with breast carcinoma treated with adjuvant chemotherapy.,"BACKGROUND: Sialyl-Tn (STn) represents an aberrantly glycosylated mucin epitope that is expressed in breast carcinoma and other adenocarcinomas and is an important factor in the development of novel immunotherapeutic approaches. The primary aim of the current study was to investigate the influence of STn expression on the prognoses of patients with breast carcinoma. METHODS: A cohort of 207 women diagnosed with invasive breast carcinoma who were treated with anthracycline-containing adjuvant chemotherapy and were enrolled in a randomized clinical trial were studied. Expression of STn was determined by an immunohistochemical procedure in which the B72.3 monoclonal antibody was used. Kaplan-Meier and Cox proportional regression survival analyses were used to compare low STn and high STn patients. RESULTS: Forty-eight (23%) of the 207 specimens demonstrated high STn staining (>25% cells were immunoreactive). During a median follow-up of 5 years, high STn patients had worse disease free survival than low STn patients (55% vs. 74%, respectively; P = 0.03). High STn expression was significantly associated with age (P = 0.04) but not with other conventional prognostic markers. In multivariate analysis using the Cox regression model, high STn emerged as an independent prognostic indicator for disease free survival (hazard ratio [HR], 2.02; 95% confidence interval [CI], 1.09-3.73) and for overall survival (HR, 2.16; 95% CI, 0.95-4.92). CONCLUSIONS: The results of this study suggest that STn may be a valuable marker for identifying women at high risk of developing recurrent breast carcinoma who may be candidates for trials investigating new therapies in combination with standard adjuvant therapy.",0
A randomized controlled trial comparing intrathecal sustained-release cytarabine (DepoCyt) to intrathecal methotrexate in patients with neoplastic meningitis from solid tumors.,"Standard treatment for neoplastic meningitis requires frequent intrathecal (IT) injections of chemotherapy and is only modestly effective. DepoCyt is a sustained-release formulation of cytarabine that maintains cytotoxic concentrations of the drug in the cerebrospinal fluid (CSF) for more than 14 days after a single 50-mg injection. We conducted a randomized, controlled trial of DepoCyt versus methotrexate in patients with solid tumor neoplastic meningitis. Sixty-one patients with histologically proven cancer and positive CSF cytologies were randomized to receive IT DepoCyt (31 patients) or IT methotrexate (30 patients). Patients received up to six 50-mg doses of DepoCyt or up to sixteen 10-mg doses of methotrexate over 3 months. Treatment arms were well balanced with respect to demographic and disease-related characteristics. Responses occurred in 26% of DepoCyt-treated and 20% of methotrexate-treated patients (P = 0.76). Median survival was 105 days in the DepoCyt arm and 78 days in the methotrexate arm (log-rank P = 0.15). The DepoCyt group experienced a greater median time to neurological progression (58 versus 30 days; log-rank P = 0.007) and longer neoplastic meningitis-specific survival (log-rank P = 0.074; median meningitis-specific survival, 343 versus 98 days). Factors predictive of longer progression-free survival included absence of visible central nervous system disease on neuroimaging studies (P<0.001), longer pretreatment duration of CSF disease (P<0.001), history of intraparenchymal tumor (P<0.001), and treatment with DepoCyt (P = 0.002). The frequency and grade of adverse events were comparable between treatment arms. In patients with solid tumor neoplastic meningitis, DepoCyt produced a response rate comparable to that of methotrexate and significantly increased the time to neurological progression while offering the benefit of a less demanding dose schedule.",0
Predictive value of relative changes in serum total sialic acid level for response to neoadjuvant chemotherapy in patients with locally advanced breast carcinoma.,"The aim of this study was to determine whether relative changes in total serum sialic acid (TSA) levels are associated with response to neoadjuvant chemotherapy in locally advanced breast carcinoma (LABC) patients. Forty-seven patients with stage III-B breast carcinoma and 20 healthy subjects (controls) were included to the study. TSA levels were determined in serum from patients at baseline and after completion of preoperative chemotherapy. Pathological responses to chemotherapy were determined on specimens of modified radical mastectomy underwent in responders. Association between the relative changes in serum TSA levels and the pathological response to chemotherapy was investigated. The baseline mean serum TSA level of LABC patients was 88.6+/-0.6 mg/dl and 66.9+/-0.7 mg/dl for the control group (p<0.0001). After 3 cycles chemotherapy, the serum levels of TSA were markedly decreased with pathological partial response (pPR) (73.8+/-1.0 mg/dl) and complete response (pCR) (68.1+/-1.9 mg/dl) compared to baseline values (p<0.05). In 8 non-responders, mean TSA value was 88.9+/-1.1 mg/dl (p=0.9 for pretreatment vs posttreatment TSA levels). Of 39 responders, 6 had pathological complete response (pCR) and remaining had pathological partial response (pPR). TSA levels derived from patients with pCR and from those with pPR were 68.1+/-1.9 mg/dl and 73.8+/-1.0 mg/dl, respectively (p=0.03). While TSA levels from pCR were not different from those of controls (p=0.4), there was a significant difference between TSA levels from pPR and from controls (p<0.0001). A significant correlation was demonstrated between the relative changes in TSA levels and pathological response (p<0.0001, coefficient of correlation [rs]=0.81). The ROC analysis showed that the discriminating ability was satisfactory and relative decrease by more than 21% in TSA levels indicated a pCR with the sensitivity by 83%, specificity by 76%. In conclusion, there is a significant correlation between the relative changes in TSA levels by chemotherapy and clinical/ pathological response to neoadjuvant chemotherapy in LABC patients.",0
A prospective randomized trial of thymopentin versus granulocyte--colony stimulating factor with or without thymopentin in the prevention of febrile episodes in cancer patients undergoing highly cytotoxic chemotherapy.,"One hundred patients with advanced carcinoma undergoing highly cytotoxic chemotherapy were enrolled in a prospective randomized trial comparing subcutaneous G-CSF, thymopentin, a combination of the two, and placebo as preventive treatment of febrile leukopenia. Data from this study show that G-CSF was very active in reducing the incidence of chemotherapy-related fever and leukopenia as compared to placebo (22% versus 64%). This difference was statistically highly significant (P < 0.001). Thymopentin was associated with a reduction in febrile episodes as compared to placebo (52% versus 64%), but this difference did not reach statistical significance. Moreover, the addition of thymopentin to G-CSF did not result in a statistically significant improvement of results obtained with G-CSF alone. Similar results were achieved for fungal infections. Tolerance to thymopentin was excellent, while less than 9% of patients on G-CSF treatment complained of mild nausea and generalized bone pain.",0
Kinetics of serum HER-2/neu changes in patients with HER-2-positive primary breast cancer after initiation of primary chemotherapy.,"BACKGROUND: The purpose of the study was to determine the utility of quantitation of the extracellular domain (ECD) of the HER-2/neu receptor in the serum for predicting response to treatment in patients with primary breast cancer receiving neoadjuvant therapy. METHODS: HER-2/neu ECD was measured in sera obtained from 39 patients with HER-2-amplified stage II-III primary breast cancer undergoing neoadjuvant chemotherapy. Patients were randomly assigned to either 4 cycles of paclitaxel followed by 4 cycles of fluorouracil, epirubicin, and cyclophosphamide (FEC) (n = 10) or to the same chemotherapy with simultaneous weekly trastuzumab for 24 weeks (n = 29). Changes in HER-2 ECD were monitored with the Bayer HER-2/neu assay over 6 months and correlated with pathological response to treatment. RESULTS: Before initiation of chemotherapy, 28.2% of patients had elevated concentration of the HER-2 ECD (>15 ng/mL). The median baseline serum HER-2 ECD concentration was 13.6 ng/mL (mean +/- SD, 20.3 +/- 35.5 ng/mL). A decrease in the median HER-2 ECD levels from baseline to Week 3 and from baseline to Week 6 of chemotherapy was seen regardless of treatment regimen. No significant difference in baseline HER-2 ECD levels was observed between the groups who achieved pathological complete response (pCR) and the group with residual disease (P = .41). However, a 9% drop from Week 3 to Week 6 after initial chemotherapy was predictive of pCR (P = .04). CONCLUSION: A decrease in serum HER-2 ECD levels early during treatment was associated with pathological response in patients receiving primary chemotherapy, particularly trastuzumab-based regimens. Serum HER-2 ECD levels may serve to monitor neoadjuvant therapy in HER-2-positive primary breast cancer.",0
A randomized phase II trial of doxorubicin plus pemetrexed followed by docetaxel versus doxorubicin plus cyclophosphamide followed by docetaxel as neoadjuvant treatment of early breast cancer.,"BACKGROUND: Neoadjuvant systemic therapy (NST) before surgery is a standard option for patients with early breast cancer (EBC) that allows in vivo chemosensitivity testing. Given the promising activity of pemetrexed plus doxorubicin in metastatic breast cancer, it was reasonable to evaluate the utility of this combination as part of an NST regimen in EBC.PATIENTS AND METHODS: Patients with untreated operable T2-T4a-c N0-2 M0 breast cancer were randomly assigned to receive either four cycles of pemetrexed 500 mg/m(2) plus doxorubicin 60 mg/m(2) every 3 weeks (q3w) followed by four cycles of docetaxel 100 mg/m(2) q3w (AP-D) or four cycles of doxorubicin 60 mg/m(2) plus cyclophosphamide 600 mg/m(2) q3w followed by four cycles of docetaxel 100 mg/m(2) q3w (AC-D). Surgery was carried out within 2 months after last chemotherapy. Primary end point was pathological complete response (pCR) rate in the breast. Secondary end points included clinical response rate, rate of histologically negative axillary lymph nodes, toxicity, and disease-free survival.RESULTS: From September 2005 to August 2007, 257 patients were randomly allocated to 17 sites. Median age was 48 and 49 years for AP-D and AC-D, respectively. Overall pCR rates were 16.5% for AP-D and 20.2% for AC-D. With AP-D, pCR rate was 17.8% for hormone receptor (HR)-negative patients and 15.9% for HR-positive patients. With AC-D, pCR rates were 42.9% and 7.8% for HR-negative and HR-positive patients, respectively. Clinical response rates were 59.5% in the AP-D group and 68.1% in the AC-D group. The rate of histologically negative axillary lymph nodes was 53% in both groups. Both treatments were well tolerated. Median disease-free survival is currently not mature.CONCLUSIONS: AP-D and AC-D are well tolerated and active as NST in EBC. Of note, AC-D had a higher pCR rate in HR-negative tumors, whereas AP-D had more activity if HRs were expressed.",1
"Primary breast cancer: mammographic changes after neoadjuvant chemotherapy, with pathologic correlation.","PURPOSE: To correlate changes depicted at mammography during neo-adjuvant chemotherapy for operable breast carcinoma with subsequent pathologic status. MATERIALS AND METHODS: Patients (n = 107) underwent mammography before and after neoadjuvant chemotherapy, prior to surgery. Four retrospectively determined grades of response at mammography included complete, mammographic (decreased size and/or density), stable disease, or progressive disease. RESULTS: In 95 fully assessable patients, grade of response to chemotherapy was complete in eight (9%), mammographic in 78 (82%), stable disease in seven (7%), and progressive disease in two (2%). Before and after treatment, respectively, 64 (67%) and 20 (21%) masses were greater than 2 cm in bidimensional diameter. Response was not complete in any of the 44 (46%) cases of microcalcifications. At histologic examination after surgery in 95 fully assessable patients, five of eight patients with complete response were found to have residual tumor (three with an invasive component); eight were found to have no residual tumor (response in three was complete; in four, mammographic; and in one, stable disease). CONCLUSION: Whereas mammograms in most patients showed some response to chemotherapy, prediction of pathologic outcome was not possible.",0
Prospective randomised multicenter trial on single fraction radiotherapy (8 Gy x 1) versus multiple fractions (3 Gy x 10) in the treatment of painful bone metastases.,"BACKGROUND AND PURPOSE: To investigate whether single-fraction radiotherapy is equal to multiple fractions in the treatment of painful metastases. PATIENTS AND METHODS: The study planned to recruit 1000 patients with painful bone metastases from four Norwegian and six Swedish hospitals. Patients were randomized to single-fraction (8 Gy x 1) or multiple-fraction (3 Gy x 10) radiotherapy. The primary endpoint of the study was pain relief, with fatigue and global quality of life as the secondary endpoints. RESULTS: The data monitoring committee recommended closure of the study after 376 patients had been recruited because interim analyses indicated that, as in two other recently published trials, the treatment groups had similar outcomes. Both groups experienced similar pain relief within the first 4 months, and this was maintained throughout the 28-week follow-up. No differences were found for fatigue and global quality of life. Survival was similar in both groups, with median survival of 8-9 months. CONCLUSIONS: Single-fraction 8 Gy and multiple-fraction radiotherapy provide similar pain benefit. These results, confirming those of other studies, indicate that single-fraction 8 Gy should be standard management policy for these patients.",0
Identifying patients at high risk for neutropenic complications during chemotherapy for metastatic breast cancer with doxorubicin or pegylated liposomal doxorubicin: the development of a prediction model.,"OBJECTIVE: To develop a cycle-based risk prediction model for neutropenic complications (NC) during chemotherapy with doxorubicin (DOX) or a pegylated liposomal formulation (PLD) for patients with metastatic breast cancer (MBC). METHODS: Data analyzed was from a phase III, randomized clinical trial of DOX (60 mg/m(2) every 3 weeks) or PLD (50 mg/m(2) every 4 weeks) for the first line therapy for MBC (n = 509) (O'Brien et al, Ann Oncol. 2004;15:440-449). NC were defined as an absolute neutrophil count < or =1.5 x 10(9) cells/L (ie, > or =grade II) before the next cycle, febrile neutropenia or neutropenia with a documented infection. Patient and hematologic factors potentially associated with NC were evaluated. Factors with a P value of < or =0.25 within a cycle were included in a generalized estimating equations regression model. Using backward elimination, we derived a risk scoring algorithm (range 0-63) from the final reduced model. RESULTS: Risk factors retained in the model included poor performance status, absolute neutrophil count < or =2.0 x 10(9) cells/L in the previous cycle, the first cycle of chemotherapy, DOX versus PLD and advanced age. A precycle risk score from > or =25 to <40 for a given patient was identified as being the optimal threshold for sensitivity (58.0%) and specificity (78.7%). Patients with a score at or beyond this threshold would be considered at high risk for developing NC in later cycles. CONCLUSION: The use of this model may enhance patient care by targeting preventative therapies (eg, granulocyte colony stimulating factor or PLD) to those MBC patients most likely to experience NC during anthracycline-based chemotherapy.",0
Vitamin E for prophylaxis against chemotherapy-induced neuropathy: a randomized controlled trial.,"BACKGROUND: The authors conducted a pilot, randomized, open label with blind assessment, controlled trial to determine whether vitamin E supplementation has a neuroprotective effect in chemotherapy-induced peripheral nerve damage. METHODS: Thirty-one patients with cancer treated with six courses of cumulative cisplatin, paclitaxel, or their combination regimens were randomly assigned in two groups and followed by neurologic examination and electrophysiologic study. Patients assigned in Group I (n = 16) received oral vitamin E at a daily dose of 600 mg/day during chemotherapy and 3 months after its cessation were compared to patients of Group II (n = 15), who received no supplementation and served as controls. The severity of neurotoxicity was summarized by means of a modified peripheral neuropathy score. RESULTS: The incidence of neurotoxicity differed between the two groups, occurring in 4/16 (25%) patients assigned in the vitamin E supplementation group and in 11/15 (73.3%) patients assigned in the control group (p = 0.019). Mean peripheral neuropathy scores were 3.4 +/- 6.3 for patients of Group I and 11.5 +/- 10.6 for patients of Group II (p = 0.026). The relative risk (RR) of developing neurotoxicity was significantly higher in case of control patients, RR = 0.34, 95% CI = 0.14 to 0.84. CONCLUSION: Vitamin E supplementation in cancer patients may have an important neuroprotective effect.",0
"Dose-dense adjuvant chemotherapy in node-positive breast cancer: docetaxel followed by epirubicin/cyclophosphamide (T/EC), or the reverse sequence (EC/T), every 2 weeks, versus docetaxel, epirubicin and cyclophosphamide (TEC) every 3 weeks. AERO B03 randomized phase II study.","BACKGROUND: Adding a taxane to anthracycline-based adjuvant chemotherapy prolongs survival in node-positive patients but optimal dose and schedule remain undetermined. This study aimed to select a dose-dense regimen for further assessment in phase III studies. PATIENTS AND METHODS: Ninety-nine patients with node-positive invasive breast adenocarcinoma were randomly assigned to docetaxel (Taxotere) (T) 75 mg/m2, epirubicin (E) 75 mg/m2 and cyclophosphamide (C) 500 mg/m2 (TEC)x6, every 3 weeks; E 100 mg/m2, C 600 mg/m2 x 4, then T 100 mg/m2 x 4 (EC-->T) or the reverse sequence (T-->EC), every 2 weeks, with pegfilgrastim support. The primary end point was the incidence of grade 4 toxicity. RESULTS: Dose intensity was almost doubled with dose-dense regimens, compared with TEC. Twenty-seven patients experienced grade 4 toxicity: 26%, 40% and 18% with TEC, EC-->T and T-->EC, respectively, mainly neutropenia, but febrile neutropenia occurred only in 11%, 10% and 3%. Grade 3-4 nail disorders, hand-foot syndrome and peripheral neuropathy occurred in 46%, 73% and 68% of patients with TEC, EC-->T and T-->EC, respectively. CONCLUSIONS: Dose-dense regimens yield more frequent and severe nonhematological toxic effects than standard dose TEC regimen. Though grade 4 toxicity rates appear acceptable with the T-->EC regimen, the incidence of grade 3-4 events makes it difficult to recommend either dose-dense regimen for further investigation.",1
A prospective randomized trial to evaluate different oral dose regimens of medroxyprogesterone acetate in women with advanced breast cancer.,"A prospective randomized study was conducted to try to answer two questions: is a loading dose of medroxyprogesterone acetate (1000 mg p.o. q.d.s. for 48 h) superior to conventional dosing; and does an oral maintenance dose of 1000 mg daily offer any advantage over 500 mg daily in women with advanced breast cancer who have failed to respond to, or have relapsed after, tamoxifen? Of 211 patients randomized, 207 were evaluable. There was no improvement in response rates, time to response, response duration or overall survival as a result of the loading dose. When comparing high and low maintenance doses, there was a significant difference in response rates (48% versus 32%; chi 2 = 10.09, df = 2, P = 0.006) and survival (66% versus 41% alive at 12 months; chi 2 = 9.06, df = 1, P = 0.003) in favour of the higher dose regimen, although there was no significant difference in the duration of response. There was no additional toxicity attributable to the loading dose regimen, but side effects were more frequent with the high dose maintenance schedule (141 of 201 adverse effects occurring in these two groups) although the incidence of severe toxicity was similar with both high dose and low dose treatments.",0
