"male","race","age","state","time.served","max.sentence","multiple.offenses","crime","violator"
1,2,41.1,"4",3,12,1,"2",0
1,2,22.8,"4",3.1,12,1,"1",0
1,2,29.9,"4",4.2,16,1,"4",1
1,2,41.1,"4",3,14,1,"1",1
1,2,46.4,"4",4.3,12,1,"1",0
1,1,33.9,"4",5.2,14,1,"1",0
1,2,33,"4",5.3,12,0,"3",0
1,2,43.8,"4",4.4,14,1,"1",0
1,1,38.9,"4",5.6,12,1,"1",0
1,2,44.2,"4",3,12,1,"1",0
1,2,38.3,"4",5,12,1,"1",0
1,2,40.6,"4",4.9,16,0,"3",0
1,2,34,"4",3,12,0,"1",0
1,1,22.2,"4",4.1,15,1,"1",0
1,1,33,"4",4.5,14,1,"2",0
1,1,19.3,"4",5.2,13,1,"1",0
0,1,30,"4",4,13,1,"4",0
1,2,47,"4",3,15,1,"2",1
0,1,21.9,"4",4.3,14,1,"1",0
1,1,23,"4",5.1,13,1,"2",0
1,2,43.7,"4",5.6,18,1,"4",0
1,2,46.8,"4",3.7,15,0,"1",0
0,2,28.2,"4",3.8,15,1,"1",0
1,2,20.7,"4",3.1,12,1,"1",0
1,2,46.7,"4",4.2,12,1,"1",0
0,2,32.8,"4",3.2,14,1,"2",0
1,2,23.3,"4",3.3,13,1,"2",0
1,1,27.7,"4",5.2,12,0,"1",0
1,1,18.4,"4",3,12,1,"1",0
1,2,48.5,"4",4.7,16,1,"1",0
1,1,26.9,"4",5.9,17,1,"1",0
1,1,30.1,"4",3.2,13,1,"1",0
1,1,26.9,"4",3,13,1,"4",0
0,2,47.3,"4",4,15,1,"1",0
1,2,19.1,"4",5.3,14,1,"1",0
1,2,24.8,"4",3.3,13,0,"1",0
1,2,39.6,"4",3,12,0,"3",0
1,1,25.6,"4",2.2,13,1,"1",0
1,2,25.6,"4",5.4,13,1,"2",0
1,2,33.7,"4",3.2,15,1,"1",0
0,1,44.1,"4",3.2,15,1,"1",0
1,1,54.1,"4",4.2,14,1,"4",0
1,1,38.7,"4",6,17,1,"1",0
0,2,25.1,"4",4.2,13,1,"1",0
1,2,24.4,"4",4.7,15,1,"1",0
1,2,45.6,"4",3.8,14,0,"2",0
1,1,20.8,"4",3.6,13,1,"1",0
0,2,34.2,"4",3.2,12,1,"1",0
1,1,33.6,"4",4.6,15,1,"4",0
0,2,46.9,"4",2.3,14,1,"1",0
1,1,35.4,"4",3.5,15,0,"2",0
1,2,44.1,"4",4,14,1,"2",1
0,2,27.1,"4",3.8,15,1,"1",0
1,1,34,"4",4.8,12,0,"1",0
1,1,48.2,"4",3.2,14,1,"4",0
1,2,24.9,"4",4.1,14,1,"1",0
1,2,36.5,"4",2.9,12,0,"1",0
1,2,23.3,"4",3.1,14,1,"1",0
1,1,47.2,"4",3,12,0,"1",0
1,2,44.5,"4",3.1,14,1,"4",0
1,2,25.9,"4",3.1,14,0,"2",0
1,1,22.3,"4",3,12,0,"3",0
1,1,19.9,"4",3,13,1,"1",0
1,1,39.2,"4",4.5,17,1,"4",1
1,2,21.5,"4",3.2,14,1,"1",0
1,1,22.1,"4",3.8,14,1,"1",0
1,1,48.2,"4",4.6,13,1,"1",0
1,2,23.8,"4",4.6,14,1,"4",0
1,2,36.3,"4",4.1,16,1,"2",0
1,1,56.5,"4",5.8,18,0,"1",0
1,2,36.4,"4",2.9,12,1,"2",0
1,2,25.4,"4",3.4,14,1,"1",0
1,2,28.2,"4",6,18,1,"4",0
1,1,39,"4",3.9,14,1,"2",0
0,2,42,"4",3.3,13,1,"1",0
1,1,47.1,"4",4.2,16,1,"1",0
0,1,47.5,"1",5.2,16,0,"3",0
1,1,45.4,"1",5.7,12,0,"3",0
1,1,38.4,"1",1.8,18,0,"1",0
1,1,47.8,"1",6,12,0,"4",0
